"species","common","ltID","Age","Fertility","nParents","nOffspring"
"Lemur catta","Ring-tailed lemur","LT0229",6,1.16,13,15
"Lemur catta","Ring-tailed lemur","LT0229",7,0.9,10,9
"Lemur catta","Ring-tailed lemur","LT0229",8,1.14,7,7
"Lemur catta","Ring-tailed lemur","LT0229",9,1.14,7,7
"Lemur catta","Ring-tailed lemur","LT0229",10,0.8,5,4
"Lemur catta","Ring-tailed lemur","LT0229",11,1.2,5,6
"Lemur catta","Ring-tailed lemur","LT0229",12,1.34,3,4
"Lemur catta","Ring-tailed lemur","LT0229",13,2,1,2
"Lemur catta","Ring-tailed lemur","LT0229",14,1,1,1
"Spermophilus columbianus","Columbian ground squirrel","LT0100",0,0,93,0
"Spermophilus columbianus","Columbian ground squirrel","LT0100",1,0.39,31,12
"Spermophilus columbianus","Columbian ground squirrel","LT0100",2,1.39,21,29
"Spermophilus columbianus","Columbian ground squirrel","LT0100",3,1.83,14,25
"Spermophilus columbianus","Columbian ground squirrel","LT0100",4,2,9,18
"Spermophilus columbianus","Columbian ground squirrel","LT0100",5,1.9,5,9
"Spermophilus columbianus","Columbian ground squirrel","LT0100",6,1.2,2,2
"Spermophilus columbianus","Columbian ground squirrel","LT0100",7,2,1,2
"Spermophilus lateralis","Golden-Mantled ground squirrel","LT0107",0,0,159,0
"Spermophilus lateralis","Golden-Mantled ground squirrel","LT0107",1,1.97,36,70
"Spermophilus lateralis","Golden-Mantled ground squirrel","LT0107",2,2.56,15,38
"Spermophilus lateralis","Golden-Mantled ground squirrel","LT0107",3,2.84,8,22
"Spermophilus lateralis","Golden-Mantled ground squirrel","LT0107",4,2.48,5,12
"Spermophilus lateralis","Golden-Mantled ground squirrel","LT0107",5,2.81,4,11
"Spermophilus lateralis","Golden-Mantled ground squirrel","LT0107",6,3.12,2,6
"Spermophilus lateralis","Golden-Mantled ground squirrel","LT0107",7,3,1,3
